JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
3693137,6224,237,30-07-2015,30,07,2015
3627025,0,0,16-07-2015,16,07,2015
3536075,1220,338,02-07-2015,02,07,2015
3561677,10574,192,04-07-2015,04,07,2015
3670525,33447,28741,23-07-2015,23,07,2015
3670525,33834,41863,25-07-2015,25,07,2015
3659507,654,4548,21-07-2015,21,07,2015
3659507,680,132,23-07-2015,23,07,2015
3685047,1631,39189,25-07-2015,25,07,2015
3454799,540,3559,13-06-2015,13,06,2015
3505343,105,267,25-06-2015,25,06,2015
3613357,115,16021,11-07-2015,11,07,2015
3635437,12929,17218,16-07-2015,16,07,2015
3635437,13272,551,18-07-2015,18,07,2015
